cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_comet_mean_importance,small100_noft_comet_mean_importance,small100_ft_comet_mean_importance,m2m100_noft_comet_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
0.0304798159441461,0.0347452537915298,0.0431098949166796,143.8,11.0,29.4,38.0,31.6,48.6,1.0,5.0,72.6,73.2,39.6,61.4,81.8,70.4,104.4,85.2,90.2,95.8,82.2,44.2,47.6,132.2,70.4,52.6,94.8,78.0,68.2,131.0,85.4,55.8,113.4,90.0,73.2,20.8,229.6,83.4,275.6,182.2,0.1,32.0,0.0003158494547899,0.0001589667547986,2.5045486442829e-05,vie,False,True,True,True,True,True,True
0.0682037494256436,0.0728382169633816,0.1087526552447016,123.0,39.0,78.0,97.0,95.0,65.0,6.0,,,90.0,50.0,248.0,212.0,66.0,458.0,81.0,208.0,184.0,120.0,85.0,245.0,111.0,220.0,186.0,,,,,,,,,,,,,,,0.1,32.0,0.0007225057331413,0.0,0.0,vie,True,False,False,False,False,False,False
0.0304075161809075,0.0220217006781036,0.1016926044069644,154.0,3.4,37.6,47.6,41.6,29.0,1.6,6.8,49.2,60.2,41.4,57.8,117.4,57.2,101.6,80.8,95.0,69.0,78.2,48.8,48.6,103.0,47.6,60.4,95.0,94.2,65.6,146.6,91.4,49.8,112.6,119.4,85.2,19.8,245.2,74.2,268.6,192.6,0.1,32.0,0.0002746922969757,1.7925651113323558e-05,0.0001058267954032,rus,False,True,True,True,True,True,True
0.0701681085656045,0.0595327402977477,0.1201578982581242,138.0,43.0,76.0,74.0,92.0,47.0,4.0,,,74.0,24.0,239.0,213.0,88.0,458.0,90.0,164.0,199.0,112.0,73.0,256.0,138.0,169.0,202.0,,,,,,,,,,,,,,,0.1,32.0,0.0004375294179885,0.0,0.0,rus,True,False,False,False,False,False,False
0.029203724172713,0.0375405292981256,0.1980801924935146,149.2,3.8,28.2,49.6,41.0,31.6,1.0,6.0,44.0,63.4,40.4,50.2,72.0,47.6,96.2,72.0,86.4,60.4,56.8,67.0,49.4,91.4,60.2,46.2,105.4,71.0,55.4,112.4,78.8,62.2,92.4,96.8,66.0,23.2,222.8,52.2,249.4,175.6,0.1,28.8,0.0002513294858475,0.0007431224148114,0.0029956548913903,kir,False,True,True,True,True,True,True
0.068328573601331,0.1627262669876566,0.2903830973973494,144.0,48.0,86.0,83.0,101.0,68.0,4.0,,,89.0,40.0,228.0,230.0,78.0,416.0,83.0,168.0,188.0,104.0,78.0,262.0,119.0,213.0,195.0,,,,,,,,,,,,,,,0.1,32.0,0.0003740824979395,0.0,0.0,kir,True,False,False,False,False,False,False
0.0304577645691145,0.0407019946426363,0.037349059406753,144.0,6.0,27.2,32.6,40.4,34.6,2.2,2.6,43.0,48.6,38.8,56.0,80.2,52.2,92.6,71.8,78.2,64.6,55.4,47.2,54.8,93.0,58.6,50.0,125.6,81.4,61.2,112.0,76.2,55.2,87.4,96.6,72.8,19.4,219.2,66.2,257.0,169.0,0.1,28.8,0.000455181915272,0.0011608306738693,0.000475388260464,sin,False,True,True,True,True,True,True
0.0690204151691315,0.0690665266610878,0.1127042546207334,115.0,42.0,73.0,105.0,95.0,46.0,8.0,,,92.0,34.0,217.0,233.0,80.0,477.0,69.0,175.0,198.0,101.0,66.0,271.0,122.0,190.0,199.0,,,,,,,,,,,,,,,0.1,32.0,0.0003499765114794,0.0,1.3877787807814457e-17,sin,True,False,False,False,False,False,False
0.0309295182405734,0.035797110394799,0.0378436707241844,143.0,6.0,31.0,51.0,57.0,47.0,4.0,6.0,46.0,58.0,28.0,67.0,95.0,55.0,99.0,61.0,105.0,79.0,66.0,55.0,48.0,104.0,70.0,66.0,111.0,86.0,68.0,117.0,94.0,83.0,110.0,123.0,81.0,22.0,234.0,91.0,256.0,177.0,0.1,32.0,0.0003505323544745,0.0,0.0,ind,False,True,True,True,True,True,True
0.0686800443365976,0.0971069277840041,0.1345637750245582,135.0,40.0,66.0,74.0,82.0,68.0,3.0,,,77.0,40.0,243.0,222.0,83.0,459.0,96.0,209.0,201.0,121.0,107.0,239.0,124.0,183.0,180.0,,,,,,,,,,,,,,,0.1,32.0,0.0004619231730056,0.0,0.0,ind,True,False,False,False,False,False,False
0.0296633185936677,0.0364944186096212,0.0396991775407009,127.8,6.8,37.8,46.2,52.2,36.6,0.6,3.4,39.4,52.2,40.0,71.0,81.0,56.4,82.4,74.6,81.6,62.2,67.8,41.6,46.0,93.4,51.4,41.2,106.0,65.8,74.0,129.0,75.0,64.8,110.8,89.2,69.2,18.0,217.2,58.4,248.6,160.4,0.1,28.8,0.0002190091202845,0.0005717568227731,0.0003974604373476,bel,False,True,True,True,True,True,True
0.0681123823007649,0.1146805429456888,0.1372636857689834,150.0,35.0,79.0,78.0,98.0,77.0,6.0,,,71.0,36.0,218.0,230.0,93.0,465.0,70.0,181.0,215.0,112.0,79.0,270.0,121.0,177.0,173.0,,,,,,,,,,,,,,,0.1,32.0,0.0005426182699725,0.0,0.0,bel,True,False,False,False,False,False,False
0.0301575930369337,0.0558236572886175,0.0412783887539675,96.6,7.0,27.8,32.8,31.4,22.8,2.2,3.4,30.2,36.4,30.8,39.4,71.6,33.2,63.0,54.8,63.4,46.0,54.4,43.2,35.0,72.8,42.0,28.0,81.4,61.8,34.8,99.4,52.6,41.2,91.8,76.8,44.8,16.2,174.2,53.4,204.2,139.2,0.1,22.4,0.0002305939372673,0.0033245930851148,0.0025663692798401,kan,False,True,True,True,True,True,True
0.0686028592045091,0.152434376788616,0.1155956895198475,134.0,39.0,85.0,96.0,83.0,61.0,4.0,,,78.0,42.0,239.0,220.0,82.0,472.0,85.0,166.0,187.0,104.0,94.0,253.0,119.0,176.0,213.0,,,,,,,,,,,,,,,0.1,32.0,0.0004279670503577,0.0,1.3877787807814457e-17,kan,True,False,False,False,False,False,False
0.0304100306963017,0.0240811618426884,0.0252150735453052,118.6,12.6,30.4,47.8,28.6,36.4,0.2,0.8,50.0,44.4,34.6,51.0,99.2,60.4,90.4,81.4,94.2,61.2,61.2,52.4,50.2,101.6,51.6,35.4,113.6,68.4,65.8,101.6,73.6,52.4,102.8,97.8,64.6,19.4,230.0,76.0,246.4,173.0,0.1,28.8,0.0001877503822024,0.0033788033247824,0.0011035515447133,som,False,True,True,True,True,True,True
0.0689761431302236,0.1656436944840129,0.0707970070827912,128.0,40.0,66.0,80.0,98.0,56.0,6.0,,,91.0,40.0,232.0,209.0,74.0,454.0,67.0,165.0,209.0,108.0,93.0,283.0,123.0,170.0,194.0,,,,,,,,,,,,,,,0.1,32.0,0.0002674533940588,0.0,0.0,som,True,False,False,False,False,False,False
0.0295631523814294,0.0817167347581145,0.1229815266770769,127.4,7.8,24.0,37.4,41.0,38.4,1.0,5.8,36.8,37.4,31.0,43.4,72.0,39.2,83.8,66.4,71.2,56.0,59.6,45.4,35.4,91.8,58.2,38.8,92.4,81.8,56.0,98.2,65.4,39.2,85.4,90.0,63.0,18.0,196.0,51.6,220.6,153.2,0.1,25.6,0.0002525350092236,0.0020500240697726,0.0014429218627873,cym,False,True,True,True,True,True,True
0.0678204085180113,0.0629458097674902,0.2273838180302888,148.0,53.0,77.0,91.0,93.0,62.0,3.0,,,76.0,45.0,250.0,219.0,71.0,442.0,79.0,159.0,203.0,101.0,70.0,274.0,132.0,184.0,199.0,,,,,,,,,,,,,,,0.1,32.0,0.0002987609432298,0.0,2.775557561562892e-17,cym,True,False,False,False,False,False,False
0.0301544621141735,0.0450944566925193,0.0317175007877041,132.0,9.0,28.2,44.8,39.2,48.0,0.8,4.2,40.6,63.2,28.0,59.8,97.8,45.4,90.8,69.0,91.4,53.8,56.4,53.8,40.2,93.4,55.0,41.2,117.0,73.0,68.4,133.2,64.8,56.8,105.0,97.4,68.2,18.0,209.8,73.2,245.8,158.6,0.1,28.8,0.0002396566754333,0.0001851865550783,0.0004705944118137,tam,False,True,True,True,True,True,True
0.0657106343276445,0.109240964327127,0.1103822111070592,125.0,41.0,70.0,70.0,90.0,73.0,11.0,,,80.0,47.0,237.0,240.0,81.0,453.0,75.0,151.0,184.0,113.0,95.0,277.0,121.0,171.0,193.0,,,,,,,,,,,,,,,0.1,32.0,0.0005407231711402,1.3877787807814457e-17,0.0,tam,True,False,False,False,False,False,False
0.0301044947349014,0.0139625298054124,0.0276506505737868,158.0,14.0,45.0,41.0,49.0,39.0,2.0,2.0,46.0,51.0,45.0,60.0,93.0,67.0,113.0,72.0,85.0,74.0,69.0,60.0,54.0,109.0,70.0,52.0,99.0,86.0,61.0,149.0,81.0,61.0,110.0,102.0,88.0,20.0,239.0,61.0,278.0,188.0,0.1,32.0,0.0001410761226919,1.734723475976807e-18,3.469446951953614e-18,snd,False,True,True,True,True,True,True
0.0677805040386501,0.1157959541432536,0.0779378825800333,162.0,40.0,83.0,84.0,89.0,65.0,3.0,,,80.0,38.0,218.0,245.0,88.0,455.0,69.0,162.0,199.0,115.0,77.0,268.0,121.0,181.0,175.0,,,,,,,,,,,,,,,0.1,32.0,0.0003767921271165,1.3877787807814457e-17,0.0,snd,True,False,False,False,False,False,False
0.0303520823540759,0.035235356306776,0.0323871252189595,126.6,3.2,36.4,46.4,38.4,27.2,0.6,3.4,47.0,53.4,34.4,65.2,77.2,46.0,101.8,81.0,84.6,54.8,62.4,51.6,41.6,100.4,50.2,43.8,120.4,71.6,70.8,120.8,88.8,68.4,111.6,100.6,70.8,12.2,209.4,65.4,239.0,148.8,0.1,28.8,0.0002930595921185,0.0018461412203813,0.0012341018952137,afr,False,True,True,True,True,True,True
0.0690364773073678,0.1141079932649881,0.0904521298093303,166.0,35.0,80.0,97.0,79.0,64.0,7.0,,,73.0,30.0,247.0,232.0,68.0,441.0,80.0,183.0,188.0,125.0,82.0,260.0,124.0,173.0,229.0,,,,,,,,,,,,,,,0.1,32.0,0.0003377678589975,0.0,0.0,afr,True,False,False,False,False,False,False
0.0301704683903548,0.0317441567790482,0.0665423772065162,144.0,7.0,31.0,43.0,49.0,44.0,0.0,6.0,54.0,48.0,45.0,70.0,98.0,51.0,82.0,82.0,101.0,70.0,73.0,41.0,53.0,94.0,62.0,59.0,106.0,85.0,69.0,137.0,97.0,55.0,122.0,116.0,88.0,22.0,237.0,73.0,296.0,186.0,0.1,32.0,0.0002647013332667,0.0,0.0,deu,False,True,True,True,True,True,True
0.0696019563227216,0.0437696254635177,0.1341725787252173,153.0,40.0,77.0,85.0,86.0,60.0,6.0,,,83.0,50.0,241.0,203.0,76.0,425.0,69.0,159.0,206.0,115.0,93.0,299.0,147.0,169.0,201.0,,,,,,,,,,,,,,,0.1,32.0,0.0008534837974984,0.0,0.0,deu,True,False,False,False,False,False,False
0.0301061087462564,0.0344616058730848,0.0116277955761794,143.0,11.8,40.8,41.0,49.2,44.0,1.0,3.2,46.2,64.6,37.4,51.2,86.2,41.0,109.0,81.2,87.8,79.8,62.8,74.0,43.8,114.2,50.6,45.2,104.0,95.2,80.4,126.0,110.8,77.2,123.0,103.0,90.4,19.2,228.0,65.2,274.6,182.6,0.1,32.0,0.0002593843215907,1.4898902496265909e-05,0.0002252123627963,plt,False,True,True,True,True,True,True
0.0681997677087889,0.0173259441860384,0.1006903420176103,140.0,44.0,82.0,85.0,70.0,61.0,4.0,,,95.0,44.0,255.0,220.0,80.0,477.0,71.0,172.0,205.0,101.0,69.0,256.0,123.0,191.0,190.0,,,,,,,,,,,,,,,0.1,32.0,0.0005294807782001,0.0,0.0,plt,True,False,False,False,False,False,False
0.0301763091435818,0.033105791266757,0.0549088207390381,139.0,7.0,29.8,40.2,36.2,29.2,2.0,2.4,40.2,50.6,33.2,66.4,85.8,52.0,94.0,65.6,76.4,60.6,57.8,46.6,48.6,92.8,70.4,45.0,104.8,82.8,61.4,123.2,78.6,55.2,114.4,113.8,79.0,17.6,216.0,62.4,240.6,158.0,0.1,28.8,0.0002193000616264,0.0006284568347342,0.0036848032951273,hau,False,True,True,True,True,True,True
0.0680871311195413,0.1152375280843028,0.1566954754291115,156.0,38.0,69.0,86.0,88.0,74.0,7.0,,,90.0,43.0,221.0,236.0,77.0,457.0,71.0,175.0,212.0,105.0,78.0,256.0,130.0,191.0,209.0,,,,,,,,,,,,,,,0.1,32.0,0.0003967578765197,0.0,0.0,hau,True,False,False,False,False,False,False
0.0301309633823531,0.0210830652778855,0.0335193504785224,124.8,8.2,36.2,35.2,39.4,42.2,3.4,7.2,49.2,52.2,41.8,58.0,83.2,42.8,89.0,80.6,82.4,64.6,55.0,48.0,44.0,105.0,60.0,46.8,114.2,81.4,61.4,116.2,65.2,54.4,104.0,92.6,66.6,21.8,213.6,62.8,253.2,173.4,0.1,28.8,0.0002101029219142,0.0016387937488195,0.0022693132052515,pan,False,True,True,True,True,True,True
0.0686318722329201,0.0731700089734796,0.066345074907036,139.0,44.0,64.0,86.0,92.0,73.0,8.0,,,102.0,41.0,241.0,233.0,73.0,442.0,81.0,167.0,204.0,106.0,103.0,243.0,110.0,208.0,193.0,,,,,,,,,,,,,,,0.1,32.0,0.0008043548990758,0.0,0.0,pan,True,False,False,False,False,False,False
0.0299829414661625,0.0535580383324352,0.035546464413209,136.8,7.8,37.8,32.8,50.0,35.4,0.0,7.4,41.2,34.8,35.0,51.4,96.8,57.0,94.6,59.4,100.6,61.2,57.0,37.0,43.4,104.2,68.4,36.4,104.8,64.0,63.2,129.8,76.4,66.2,110.8,92.4,71.4,15.4,210.0,74.2,249.8,159.6,0.1,28.8,0.0002862909335838,0.0008771327145033,0.0009999015608197,kaz,False,True,True,True,True,True,True
0.0673245347423111,0.1014628121406473,0.0749278207308795,121.0,35.0,83.0,97.0,95.0,65.0,9.0,,,73.0,40.0,231.0,213.0,84.0,485.0,96.0,160.0,207.0,126.0,78.0,254.0,135.0,148.0,211.0,,,,,,,,,,,,,,,0.1,32.0,0.0002026119469271,1.3877787807814457e-17,0.0,kaz,True,False,False,False,False,False,False
0.0288977777925994,0.0755300951315098,0.0952304321802077,141.0,5.2,31.4,47.8,48.0,24.6,5.6,5.2,68.0,51.6,41.4,57.2,93.8,40.8,84.0,64.4,81.8,68.4,52.4,48.8,47.4,100.6,60.2,47.4,95.0,76.4,47.4,117.8,66.8,64.8,102.6,90.8,73.4,23.2,216.2,61.0,255.8,169.4,0.1,28.8,0.0003373027316573,0.0020925477930098,0.0018256322997791,kat,False,True,True,True,True,True,True
0.0678098072455886,0.130348503396169,0.1913552896505706,146.0,44.0,85.0,93.0,101.0,68.0,11.0,,,81.0,32.0,236.0,257.0,69.0,423.0,69.0,154.0,217.0,114.0,85.0,266.0,100.0,179.0,164.0,,,,,,,,,,,,,,,0.1,32.0,0.0005410851265913,0.0,0.0,kat,True,False,False,False,False,False,False
0.0302646610625323,0.0516888215247224,0.0516719422350551,121.8,6.2,30.6,36.0,40.8,31.0,2.2,3.4,30.6,48.0,27.8,56.4,90.6,51.8,103.0,59.4,90.6,53.0,64.6,46.0,54.2,105.0,54.2,54.4,102.6,94.2,65.0,111.4,74.8,65.6,108.2,99.4,84.4,20.8,224.4,63.4,245.6,153.8,0.1,28.8,0.0001463897054922,0.0007536932047309,0.0019898068676425,guj,False,True,True,True,True,True,True
0.0681210947052115,0.105896924952384,0.0908729260728764,138.0,52.0,60.0,89.0,84.0,74.0,3.0,,,90.0,46.0,241.0,235.0,69.0,455.0,74.0,165.0,200.0,95.0,86.0,277.0,94.0,195.0,207.0,,,,,,,,,,,,,,,0.1,32.0,0.000800968053685,1.3877787807814457e-17,0.0,guj,True,False,False,False,False,False,False
0.0297912360950178,0.0199454039863187,0.0636033823042287,132.0,5.0,37.0,50.0,37.0,40.0,1.0,11.0,44.0,59.0,40.0,58.0,113.0,48.0,100.0,85.0,88.0,73.0,71.0,59.0,51.0,97.0,51.0,71.0,96.0,77.0,77.0,125.0,88.0,75.0,118.0,119.0,85.0,14.0,229.0,73.0,290.0,201.0,0.1,32.0,0.0001552805008516,0.0,0.0,khm,False,True,True,True,True,True,True
0.068139015877654,0.1144165279692879,0.095160185612679,145.0,42.0,82.0,90.0,90.0,69.0,6.0,,,71.0,40.0,232.0,215.0,80.0,411.0,82.0,193.0,202.0,128.0,91.0,258.0,125.0,176.0,187.0,,,,,,,,,,,,,,,0.1,32.0,0.0006390239365007,0.0,0.0,khm,True,False,False,False,False,False,False
0.0300387293964445,0.0281003622679063,0.0302115201732567,125.0,13.6,27.2,42.8,36.6,33.8,2.8,7.2,39.0,61.6,30.8,50.4,87.0,51.0,92.4,66.2,76.4,68.4,51.6,51.2,47.2,103.0,56.6,49.4,98.4,86.0,64.0,116.8,99.8,62.6,109.2,94.4,72.4,19.2,212.6,67.4,241.4,164.6,0.1,28.8,0.00031446743991,0.0004445095584356,0.0023071391204189,hye,False,True,True,True,True,True,True
0.0686932054686903,0.1123766520079535,0.0988645281513974,142.0,47.0,77.0,89.0,90.0,63.0,7.0,,,91.0,34.0,221.0,209.0,83.0,451.0,84.0,184.0,202.0,105.0,71.0,284.0,98.0,198.0,185.0,,,,,,,,,,,,,,,0.1,32.0,0.0006269385490629,1.3877787807814457e-17,0.0,hye,True,False,False,False,False,False,False
0.0313124780273498,0.0339124962470059,0.0520386370623106,135.0,5.8,30.4,43.4,43.8,38.2,1.2,5.6,31.0,59.2,39.0,51.6,80.8,47.6,88.2,74.8,75.8,58.2,74.0,63.8,49.8,98.4,58.0,44.4,111.2,89.4,80.6,119.2,78.2,50.6,91.2,73.0,54.0,15.8,218.8,70.4,260.8,156.8,0.1,28.8,0.0001899659779218,0.002108825102642,0.0011035347966241,zho,False,True,True,True,True,True,True
0.06818834222661,0.1134818367499389,0.1581711444701164,156.0,55.0,64.0,90.0,99.0,69.0,8.0,,,105.0,37.0,206.0,222.0,88.0,399.0,85.0,170.0,194.0,111.0,109.0,245.0,145.0,187.0,213.0,,,,,,,,,,,,,,,0.1,32.0,0.0005288513048902,1.3877787807814457e-17,0.0,zho,True,False,False,False,False,False,False
0.0300403632308767,0.0404051738895179,0.0440217420278966,148.0,8.0,38.6,54.0,44.6,36.8,2.4,6.0,50.2,64.8,38.8,60.4,88.0,51.4,112.2,87.8,90.2,68.2,71.8,44.6,54.2,118.0,75.8,47.0,119.2,85.0,59.8,122.0,86.8,49.6,116.6,108.4,57.6,22.4,261.6,78.2,266.0,195.4,0.1,32.0,0.0004991255230313,0.0001288230145526,0.0001465145117072,amh,False,True,True,True,True,True,True
0.0678975768376579,0.0864734879131598,0.1363832674628634,131.0,42.0,83.0,83.0,88.0,67.0,5.0,,,86.0,34.0,227.0,234.0,85.0,460.0,60.0,180.0,200.0,130.0,84.0,262.0,135.0,166.0,213.0,,,,,,,,,,,,,,,0.1,32.0,0.000573929991198,0.0,0.0,amh,True,False,False,False,False,False,False
0.0305018622399539,0.0541614655693975,0.0581880949361817,139.0,12.0,25.0,36.6,44.0,40.6,0.6,4.4,42.8,59.4,24.6,48.6,102.6,43.8,91.4,85.2,89.6,52.4,48.4,42.6,51.8,105.4,56.6,41.4,95.6,60.6,64.0,113.2,80.4,48.6,114.2,120.6,76.4,19.2,205.0,76.8,244.2,172.4,0.1,28.8,0.0001753833003764,0.0004423487558977,0.0004012739972614,fra,False,True,True,True,True,True,True
0.0681276085706773,0.1436828556465936,0.2004019729548935,143.0,55.0,62.0,88.0,91.0,64.0,11.0,,,72.0,47.0,225.0,213.0,92.0,418.0,103.0,203.0,210.0,121.0,86.0,255.0,118.0,193.0,171.0,,,,,,,,,,,,,,,0.1,32.0,0.0003276752000225,0.0,0.0,fra,True,False,False,False,False,False,False
0.0299659488306547,0.0460426358603697,0.0192867376225573,142.2,9.6,33.4,50.8,40.6,40.6,2.0,5.8,41.6,53.6,30.6,59.6,77.2,43.6,95.4,80.0,82.8,63.4,55.6,49.2,44.2,101.2,53.2,51.4,106.8,67.4,61.6,118.8,71.6,58.8,97.6,97.2,74.2,16.6,223.8,60.4,239.8,173.4,0.1,28.8,0.000225552211797,0.0008144646717925,0.0007451424429824,xho,False,True,True,True,True,True,True
0.0685590269438815,0.1088713068088046,0.1034819823093753,160.0,45.0,74.0,72.0,69.0,74.0,1.0,,,83.0,43.0,233.0,227.0,91.0,455.0,66.0,172.0,201.0,102.0,74.0,269.0,119.0,168.0,185.0,,,,,,,,,,,,,,,0.1,32.0,0.000892954932698,0.0,0.0,xho,True,False,False,False,False,False,False
0.0302105191257232,0.0350701819527209,0.0428534847915465,115.2,7.6,32.2,40.8,41.2,28.6,0.8,4.2,44.2,47.4,33.0,53.6,73.2,41.0,72.8,60.8,73.6,50.4,50.4,43.2,32.4,83.4,55.8,47.6,88.0,65.0,53.4,98.2,73.4,43.0,103.6,91.4,60.6,17.8,198.2,53.0,219.6,161.4,0.1,25.6,0.0002412814432934,0.0014649197605789,0.0050457008902166,mya,False,True,True,True,True,True,True
0.0667432787982516,0.1276516302934383,0.1096569903024855,127.0,51.0,81.0,76.0,88.0,57.0,4.0,,,90.0,47.0,244.0,220.0,69.0,447.0,81.0,156.0,193.0,108.0,78.0,270.0,139.0,191.0,210.0,,,,,,,,,,,,,,,0.1,32.0,0.0003783645857589,0.0,0.0,mya,True,False,False,False,False,False,False
0.0306416273163708,0.036873066449981,0.0484175433188711,110.8,9.6,37.0,37.0,35.2,26.0,0.6,3.0,33.4,39.6,33.8,44.2,76.8,40.0,82.6,63.8,73.4,55.0,54.6,31.0,36.4,88.0,56.4,47.2,89.8,65.2,47.8,94.6,82.6,54.0,91.0,81.6,62.0,22.6,202.0,58.4,240.4,147.0,0.1,25.6,0.0001122463930505,0.000355609469902,6.550830984250965e-05,kor,False,True,True,True,True,True,True
0.0685143485776736,0.1156702408441569,0.1439456979922513,126.0,50.0,72.0,94.0,84.0,50.0,7.0,,,78.0,31.0,220.0,227.0,82.0,485.0,85.0,175.0,190.0,114.0,95.0,267.0,88.0,202.0,192.0,,,,,,,,,,,,,,,0.1,32.0,0.0006859705217592,1.3877787807814457e-17,0.0,kor,True,False,False,False,False,False,False
0.0302314496453298,0.0434413920684813,0.0230310122594036,153.0,9.0,40.0,48.0,50.0,46.0,2.0,5.0,41.0,46.0,43.0,67.0,107.0,46.0,103.0,69.0,103.0,67.0,55.0,57.0,53.0,96.0,79.0,56.0,103.0,87.0,79.0,128.0,97.0,62.0,111.0,108.0,94.0,19.0,248.0,84.0,261.0,177.0,0.1,32.0,0.0003205256846097,0.0,0.0,jav,False,True,True,True,True,True,True
0.0684637186241232,0.1018997968334466,0.0275187885117217,139.0,36.0,78.0,86.0,95.0,65.0,2.0,,,73.0,41.0,252.0,218.0,70.0,459.0,80.0,168.0,197.0,126.0,83.0,267.0,133.0,168.0,205.0,,,,,,,,,,,,,,,0.1,32.0,0.0004538948125423,0.0,0.0,jav,True,False,False,False,False,False,False
0.0305747209564301,0.0358190140726035,0.035947927213933,109.2,9.0,31.4,44.6,34.2,42.4,0.0,3.0,39.6,62.8,36.0,50.0,89.6,48.6,109.8,78.0,90.2,62.4,54.6,59.0,41.6,89.0,58.8,56.8,109.6,76.0,60.4,132.8,86.2,64.8,91.8,96.8,69.6,17.8,217.2,50.2,230.0,174.6,0.1,28.8,0.0001576432269138,0.0016443258925777,0.0035385761719269,mar,False,True,True,True,True,True,True
0.0680613416026594,0.1355317009143659,0.1252924571368749,128.0,33.0,66.0,71.0,90.0,65.0,4.0,,,98.0,56.0,218.0,224.0,75.0,452.0,79.0,178.0,207.0,104.0,85.0,273.0,118.0,183.0,170.0,,,,,,,,,,,,,,,0.1,32.0,0.0003374503322893,0.0,0.0,mar,True,False,False,False,False,False,False
