cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
2.5491086527032003,4.897838962413141,6.363588712778361,4.0,16.0,5.0,34.0,54.0,15.0,7.0,21.0,11.0,0.0,11.0,0.0,0.0,12.0,19.0,4.0,20.0,7.0,13.0,20.0,11.0,5.0,35.0,13.0,8.0,63.0,42.0,79.0,40.0,0.3,16.0,0.0930588674883557,4.617830720547999e-05,0.0003587816291069,min,False,True,True,True,True,True,True
2.382278529571071,6.114778189935666,9.281091859585032,20.0,30.0,16.0,50.0,86.0,52.0,24.0,57.0,66.0,0.0,35.0,0.0,0.0,55.0,32.0,27.0,,,,,,,,,,,,,,0.3,16.0,0.094228442253601,0.0,0.0,min,True,False,False,False,False,False,False
5.861800835821005,7.121756302032435,15.318460454840018,78.0,,,,,,,18.0,44.0,0.0,25.0,0.0,0.0,21.0,3.0,43.0,53.0,73.0,69.0,1.0,30.0,0.0,17.0,40.0,0.0,,,,,0.03,16.0,0.0579898727713173,0.0,0.0,min,False,True,False,False,False,False,False
4.4070861148791565,7.171732101357691,9.14465849848736,,47.0,36.0,127.0,103.0,121.0,29.0,,,,,,,,,,,,,,,,,,,,,,,0.1,16.0,0.0541681323378262,0.0,0.0,min,False,False,True,False,False,False,False
2.3948860651158244,6.59428307777595,13.473293279263398,11.0,27.0,17.0,53.0,83.0,52.0,15.0,31.0,18.0,0.0,13.0,0.0,0.0,15.0,13.0,6.0,28.0,26.0,15.0,26.0,29.0,3.0,33.0,21.0,17.0,,,,,0.3,16.0,0.1403266844286469,0.0,1.7763568394002505e-15,min,False,True,True,False,False,False,False
4.253122722226754,4.383256692743748,7.874122594721101,2.0,,,,,,,20.0,5.0,0.0,11.0,0.0,0.0,39.0,12.0,6.0,39.0,27.0,24.0,15.0,14.0,1.0,47.0,16.0,23.0,261.0,,,,0.1,16.0,0.0859455094730697,0.0110446857398869,0.0125318198345631,min,False,True,False,True,False,False,False
3.5994771459913126,4.89019957937209,6.088145251567368,,45.0,17.0,58.0,63.0,109.0,26.0,,,,,,,,,,,,,,,,,,,231.0,,,,0.1,16.0,0.0839664664586944,0.0039468767897044,0.0219112472076425,min,False,False,True,True,False,False,False
2.5573000450351167,4.878478727320056,8.302828169579985,3.0,21.0,8.0,51.0,56.0,54.0,14.0,27.0,13.0,0.0,10.0,0.0,0.0,10.0,13.0,4.0,22.0,11.0,16.0,17.0,24.0,5.0,36.0,13.0,12.0,111.0,,,,0.3,16.0,0.1055846540051374,0.0045999055294227,0.0174671881857641,min,False,True,True,True,False,False,False
3.703276137695728,5.159670371719373,5.538779412725956,0.0,,,,,,,18.0,26.0,0.0,20.0,0.0,0.0,0.0,0.0,37.0,3.0,31.0,8.0,20.0,40.0,0.0,11.0,2.0,26.0,,,312.0,,0.03,16.0,0.0580331494473137,0.0,0.0,min,False,True,False,False,True,False,False
3.2935460425376064,4.654405470075064,5.027170375544598,,23.4,21.0,69.4,88.0,78.0,9.4,,,,,,,,,,,,,,,,,,,,,258.8,,0.14,16.0,0.072360985120061,0.245372766768861,0.271878322449761,min,False,False,True,False,True,False,False
2.680426974214087,4.8372071001051,6.487409656789618,3.0,14.0,19.0,52.0,75.0,37.0,6.0,14.0,23.0,0.0,11.0,0.0,0.0,7.0,13.0,9.0,26.0,9.0,15.0,27.0,22.0,2.0,19.0,23.0,12.0,,,119.0,,0.3,16.0,0.1154115300577322,0.0,8.881784197001252e-16,min,False,True,True,False,True,False,False
4.090628899324457,10.433047388136394,13.0977762209281,24.0,,,,,,,20.2,51.4,0.0,13.0,0.0,0.0,8.2,9.0,14.6,22.2,14.0,43.6,11.2,12.4,6.2,27.0,12.0,21.4,,261.0,,,0.1399999999999999,16.0,0.0586688716384778,0.0840663540741971,0.087342626370583,min,False,True,False,False,False,True,False
3.822662243698744,8.941449415836894,8.336415708607127,,28.2,13.8,127.0,110.4,71.4,15.4,,,,,,,,,,,,,,,,,,,,208.8,,,0.2199999999999999,16.0,0.1141080385641114,0.2893880878375373,0.2367349319343983,min,False,False,True,False,False,True,False
2.436888306863216,8.66230748862188,12.46759679751983,14.0,10.0,17.0,42.0,75.0,44.0,16.0,35.0,16.0,0.0,24.0,0.0,0.0,12.0,9.0,14.0,18.0,17.0,15.0,28.0,25.0,1.0,25.0,22.0,15.0,,72.0,,,0.3,16.0,0.1036491453194596,0.0,0.0,min,False,True,True,False,False,True,False
3.3101233116421724,6.1345015582267415,5.258813619656809,5.0,,,,,,,7.0,10.0,0.0,19.0,0.0,0.0,5.0,5.0,16.0,4.0,26.0,1.0,17.0,33.0,17.0,6.0,3.0,12.0,,107.0,252.0,,0.03,16.0,0.050941130164823,0.0,0.0,min,False,True,False,False,True,True,False
3.041934201321041,5.980287628528378,4.947003392085675,,15.0,11.4,72.0,81.2,54.6,8.0,,,,,,,,,,,,,,,,,,,,114.8,202.2,,0.26,16.0,0.0849814086586283,0.2648935793854622,0.0318144269180827,min,False,False,True,False,True,True,False
2.679267109040283,6.596748515347839,5.740783265793057,3.0,8.0,7.0,34.0,77.0,31.0,7.0,28.0,17.0,0.0,9.0,0.0,0.0,18.0,11.0,8.0,13.0,17.0,9.0,24.0,14.0,2.0,32.0,21.0,5.0,,63.0,100.0,,0.3,16.0,0.1274725555659521,8.881784197001252e-16,0.0,min,False,True,True,False,True,True,False
3.378436487187829,4.6686494675623535,10.581406216780222,18.0,,,,,,,18.0,6.0,0.0,24.0,0.0,0.0,21.0,14.0,12.0,33.0,27.0,33.0,8.0,25.0,3.0,13.0,22.0,16.0,,,,266.0,0.1,16.0,0.0584708117855737,0.0,0.0,min,False,True,False,False,False,False,True
4.228250158598875,5.367177884863034,8.351909372429308,,53.6,19.6,57.0,61.6,37.6,19.2,,,,,,,,,,,,,,,,,,,,,,334.2,0.18,16.0,0.0568942760567784,0.3144327957385895,0.2858498178459418,min,False,False,True,False,False,False,True
2.4758420387334747,4.60503300087107,11.536313727604604,5.0,24.0,18.0,34.0,89.0,25.0,13.0,25.0,25.0,0.0,15.0,0.0,0.0,15.0,10.0,11.0,17.0,18.0,18.0,23.0,18.0,2.0,26.0,28.0,12.0,,,,76.0,0.3,16.0,0.0943208423388653,0.0,0.0,min,False,True,True,False,False,False,True
2.780410280186559,2.679931619641017,4.378189839174635,0.0,36.0,6.0,16.0,34.0,20.0,4.0,9.0,2.0,2.0,7.0,0.0,0.0,10.0,10.0,1.0,23.0,19.0,4.0,22.0,12.0,10.0,15.0,17.0,6.0,64.0,55.0,97.0,56.0,0.3,16.0,0.091158670269442,0.0,0.0,jav,False,True,True,True,True,True,True
2.6605794015678392,6.375239982344397,6.338868554396582,18.0,52.0,20.0,77.0,72.0,41.0,9.0,51.0,43.0,12.0,21.0,0.0,0.0,46.0,69.0,27.0,,,,,,,,,,,,,,0.3,16.0,0.1058511634816372,0.0,0.0,jav,True,False,False,False,False,False,False
7.189051948626317,2.9233681232722373,6.721812468455177,62.0,,,,,,,51.0,54.0,0.0,10.0,0.0,0.0,4.0,3.0,8.0,16.0,94.0,16.0,12.0,43.0,90.0,35.0,21.0,5.0,,,,,0.03,16.0,0.0858262911773142,0.0,0.0,jav,False,True,False,False,False,False,False
4.783312879688554,9.33552645341083,7.094955391674229,,90.4,57.2,125.4,141.0,50.8,15.2,,,,,,,,,,,,,,,,,,,,,,,0.18,16.0,0.054973271538701,0.0436354727604912,0.028089610407233,jav,False,False,True,False,False,False,False
2.6853436457379765,5.659540105045814,7.080133892557069,4.0,46.0,24.0,80.0,79.0,42.0,8.0,27.0,17.0,2.0,12.0,0.0,0.0,11.0,20.0,7.0,27.0,19.0,10.0,26.0,21.0,13.0,28.0,18.0,19.0,,,,,0.3,16.0,0.1223818717385336,0.0,0.0,jav,False,True,True,False,False,False,False
4.559301750798271,3.567385688525204,5.281188583852081,11.0,,,,,,,35.0,5.0,10.0,12.0,0.0,0.0,34.0,18.0,1.0,22.0,22.0,6.0,10.0,15.0,29.0,35.0,24.0,6.0,263.0,,,,0.1,16.0,0.1257943664949556,4.440892098500626e-16,0.0,jav,False,True,False,True,False,False,False
3.994599479760635,5.454130601108524,4.530168606917445,,79.0,10.0,94.0,80.0,41.0,30.0,,,,,,,,,,,,,,,,,,,230.0,,,,0.1,16.0,0.1164780096235673,0.0,0.0,jav,False,False,True,True,False,False,False
2.726205855447668,4.740552518635036,5.9570343438950015,6.6,51.4,11.2,74.8,55.0,29.0,10.6,18.8,9.4,5.4,8.4,0.0,0.0,13.0,7.8,4.2,13.2,15.0,9.8,9.8,17.8,24.2,18.8,21.6,14.2,108.0,,,,0.2199999999999999,16.0,0.055865616485377,0.025381313604614,0.2721156311948963,jav,False,True,True,True,False,False,False
3.4813478856157056,2.680257068388862,4.920158584592637,0.0,,,,,,,10.0,17.0,0.0,9.0,0.0,0.0,0.0,7.0,1.0,4.0,50.0,13.0,16.0,7.0,39.0,6.0,5.0,10.0,,,335.0,,0.03,16.0,0.0378118023082973,0.0,0.0,jav,False,True,False,False,True,False,False
2.9731581926052075,2.939297989923221,6.073673615245966,,65.8,23.6,62.8,80.0,33.2,8.8,,,,,,,,,,,,,,,,,,,,,267.0,,0.26,16.0,0.0869893387948948,0.1735941518289349,0.2063379683140752,jav,False,False,True,False,True,False,False
2.7911214561227564,2.299469541844957,7.439360146474231,0.0,52.0,12.0,47.0,48.0,28.0,9.0,18.0,4.0,3.0,4.0,0.0,0.0,20.0,11.0,3.0,27.0,17.0,13.0,31.0,18.0,8.0,14.0,20.0,8.0,,,130.0,,0.3,16.0,0.0875240357317335,0.0,8.881784197001252e-16,jav,False,True,True,False,True,False,False
5.085018438532439,6.522239064388368,3.9800201685049785,5.0,,,,,,,18.0,21.0,6.0,3.0,0.0,0.0,10.0,4.0,12.0,27.0,19.0,25.0,13.0,21.0,25.0,29.0,11.0,29.0,,289.0,,,0.3,16.0,0.1088209130858688,0.0,0.0,jav,False,True,False,False,False,True,False
3.941894824779382,8.724306197747985,6.40908631227625,,76.0,16.0,69.0,109.0,33.0,8.0,,,,,,,,,,,,,,,,,,,,245.0,,,0.3,16.0,0.0640863074647927,0.0,0.0,jav,False,False,True,False,False,True,False
2.639466016432857,5.487409551889343,6.737342867850171,11.0,46.0,14.0,60.0,69.0,21.0,8.0,13.0,12.0,5.0,21.0,0.0,0.0,14.0,22.0,3.0,16.0,14.0,11.0,28.0,20.0,13.0,19.0,14.0,22.0,,84.0,,,0.3,16.0,0.1211368415557133,0.0,8.881784197001252e-16,jav,False,True,True,False,False,True,False
3.460878217995889,2.7057490273302327,4.330181520894852,11.0,,,,,,,1.0,21.0,6.0,4.0,0.0,0.0,0.0,3.0,0.0,4.0,35.0,1.0,9.0,8.0,22.0,13.0,0.0,4.0,,83.0,302.0,,0.03,16.0,0.0369293906841844,0.0,0.0,jav,False,True,False,False,True,True,False
2.8974744415684333,3.228202389025148,5.2790515614852,,60.2,13.0,35.6,51.8,33.2,8.6,,,,,,,,,,,,,,,,,,,,107.4,242.8,,0.26,16.0,0.0847441469263747,0.1240902951252737,0.1010272967716076,jav,False,False,True,False,True,True,False
2.7184501477183693,2.5405907150508718,6.949773209616971,1.0,63.0,7.0,34.0,46.0,25.0,1.0,15.0,6.0,3.0,13.0,0.0,0.0,15.0,13.0,3.0,20.0,13.0,6.0,44.0,13.0,8.0,20.0,21.0,4.0,,53.0,116.0,,0.3,16.0,0.1143859125257095,0.0,0.0,jav,False,True,True,False,True,True,False
3.808050609389944,6.085914534300064,3.674780473027001,2.0,,,,,,,16.0,2.0,5.0,17.0,0.0,0.0,22.0,11.0,8.0,26.0,29.0,18.0,17.0,29.0,14.0,12.0,13.0,39.0,,,,288.0,0.3,16.0,0.1344021063982974,0.0,0.0,jav,False,True,False,False,False,False,True
4.266200450912264,6.46971648588269,3.983358990101308,,95.0,24.0,44.0,87.0,47.0,2.0,,,,,,,,,,,,,,,,,,,,,,287.0,0.3,16.0,0.0528473696308421,0.0,4.440892098500626e-16,jav,False,False,True,False,False,False,True
2.522738575870485,3.2885401802835603,2.3574740766088995,5.0,48.2,13.2,34.4,61.8,32.4,12.4,27.4,7.2,7.8,11.2,0.0,0.0,16.8,18.2,5.8,21.6,16.0,4.2,23.2,19.2,18.8,25.0,17.4,15.4,,,,97.6,0.26,16.0,0.0796801478218178,0.0460171188468635,0.0079512102175989,jav,False,True,True,False,False,False,True
2.475778514323319,3.9114957704733135,2.6044995354155414,1.0,28.0,9.0,24.0,38.0,19.0,8.0,8.0,13.0,2.0,7.0,0.0,0.0,5.0,12.0,4.0,25.0,12.0,6.0,28.0,15.0,7.0,25.0,15.0,8.0,74.0,47.0,83.0,42.0,0.3,16.0,0.1312844187865793,0.00165353423544,0.0,mad,False,True,True,True,True,True,True
2.3687043529368816,5.899762161830215,11.737267269391875,13.0,50.0,30.0,64.0,79.0,34.0,12.0,53.0,48.0,19.0,40.0,0.0,0.0,55.0,56.0,14.0,,,,,,,,,,,,,,0.3,16.0,0.0596438568581345,0.0,0.0,mad,True,False,False,False,False,False,False
7.225979548971109,4.647917128699657,14.057696170322618,54.0,,,,,,,21.0,63.0,2.0,18.0,0.0,0.0,7.0,7.0,37.0,32.0,112.0,5.0,14.0,27.0,91.0,8.0,8.0,0.0,,,,,0.03,16.0,0.0693928674514012,0.0,1.7763568394002505e-15,mad,False,True,False,False,False,False,False
4.422671435742542,7.741384957775746,10.819218987452007,,68.6,59.0,146.6,128.0,56.8,27.4,,,,,,,,,,,,,,,,,,,,,,,0.18,16.0,0.0749865170523663,0.2102303539913756,0.2976076286679434,mad,False,False,True,False,False,False,False
2.334200543774948,5.430554379119451,11.835104720548172,5.0,50.8,28.0,70.0,74.4,38.2,13.8,8.6,18.6,5.2,16.6,0.0,0.0,9.4,17.8,9.6,31.4,26.6,17.8,13.2,24.4,12.4,22.8,15.6,21.6,,,,,0.2599999999999999,16.0,0.0562863986952266,0.1106000106958251,0.3498526984846932,mad,False,True,True,False,False,False,False
4.434279188741089,4.298884860896262,6.823161424347893,2.0,,,,,,,32.0,10.0,1.0,15.0,0.0,0.0,24.0,16.0,6.0,42.0,16.0,4.0,6.0,13.0,20.0,59.0,3.0,21.0,261.0,,,,0.1,16.0,0.1315079256676073,0.0,8.881784197001252e-16,mad,False,True,False,True,False,False,False
3.744771642300995,5.576939926539445,7.761875000699135,,61.0,35.0,88.0,81.0,57.0,15.0,,,,,,,,,,,,,,,,,,,207.0,,,,0.1,16.0,0.1264124544239463,0.0,0.0,mad,False,False,True,True,False,False,False
2.531493541810133,5.075444804330897,10.04842679805092,5.0,34.0,28.0,56.0,57.0,39.0,12.0,15.0,12.0,5.0,8.0,0.0,0.0,7.0,15.0,7.0,10.0,15.0,12.0,11.0,15.0,5.0,28.0,17.0,29.0,117.0,,,,0.3,16.0,0.1223176161207594,0.0,0.0,mad,False,True,True,True,False,False,False
3.5282065374561524,4.001984879329453,1.7657827364615983,1.0,,,,,,,2.0,22.0,22.0,1.0,0.0,0.0,6.0,0.0,32.0,13.0,21.0,0.0,0.0,47.0,4.0,26.0,4.0,5.0,,,338.0,,0.03,16.0,0.0496824869450081,0.0009948204675833,0.0,mad,False,True,False,False,True,False,False
2.958161094377508,4.977164245930555,4.881810901434141,,40.8,34.2,77.4,75.0,40.6,7.8,,,,,,,,,,,,,,,,,,,,,278.6,,0.26,16.0,0.0689428277613265,0.0287907804477817,0.2745805735707286,mad,False,False,True,False,True,False,False
2.517133761619147,4.8301455038335925,4.821998567436245,4.0,46.0,22.0,57.0,48.0,29.0,8.0,18.0,6.0,1.0,13.0,0.0,0.0,4.0,19.0,9.0,32.0,21.0,12.0,22.0,21.0,3.0,25.0,11.0,12.0,,,121.0,,0.3,16.0,0.0740855774037054,0.0,0.0,mad,False,True,True,False,True,False,False
5.010659157383143,7.996405517134677,12.384333690800874,5.0,,,,,,,17.0,37.0,18.0,4.0,0.0,0.0,8.0,10.0,14.0,19.0,21.0,21.0,5.0,18.0,16.0,15.0,9.0,40.0,,300.0,,,0.3,16.0,0.2149751593709441,0.0,0.0,mad,False,True,False,False,False,True,False
3.833741467927066,7.152303915252785,11.02398658364904,,50.0,28.0,78.0,108.0,38.0,12.0,,,,,,,,,,,,,,,,,,,,252.0,,,0.3,16.0,0.1020461986530296,8.881784197001252e-16,0.0,mad,False,False,True,False,False,True,False
2.334045056362493,5.3390629256884425,11.84813545069554,2.0,42.0,16.0,65.0,53.0,30.0,9.0,24.0,19.0,3.0,13.0,0.0,0.0,14.0,15.0,5.0,37.0,17.0,5.0,24.0,18.0,6.0,26.0,18.0,18.0,,74.0,,,0.3,16.0,0.0458256304628692,0.0,0.0,mad,False,True,True,False,False,True,False
3.3887098897257246,4.09774552114014,2.071199088816825,1.0,,,,,,,0.0,11.0,16.0,4.0,0.0,0.0,2.0,0.0,10.0,11.0,7.0,0.0,6.0,31.0,11.0,12.0,0.0,11.0,,120.0,290.0,,0.03,16.0,0.0566838446788116,0.0011219915294073,0.0,mad,False,True,False,False,True,True,False
2.627887652731125,4.605480139677382,3.8703173437364926,,44.6,23.8,75.0,69.8,37.0,2.4,,,,,,,,,,,,,,,,,,,,113.4,190.8,,0.26,16.0,0.0661700178343793,0.0791786997451623,0.1691163623765506,mad,False,False,True,False,True,True,False
2.545618614989894,4.038559747640592,3.910857640382946,2.0,38.0,14.0,45.0,43.0,24.0,9.0,18.0,7.0,1.0,11.0,0.0,0.0,5.0,24.0,8.0,39.0,10.0,5.0,29.0,14.0,5.0,27.0,10.0,11.0,,51.0,112.0,,0.3,16.0,0.0931784198619973,0.004328504842423,0.0,mad,False,True,True,False,True,True,False
3.694346867171336,4.581677922623875,4.382697237725399,8.0,,,,,,,16.0,22.0,8.0,7.0,0.0,0.0,3.0,16.0,18.0,23.0,17.0,11.0,13.0,25.0,7.0,16.0,25.0,23.0,,,,287.0,0.3,16.0,0.0763529993788374,0.0,0.0,mad,False,True,False,False,False,False,True
4.09423128857192,6.593501228961164,8.286036044008192,,49.0,22.0,46.0,98.0,38.0,7.0,,,,,,,,,,,,,,,,,,,,,,324.0,0.3,16.0,0.0880708668040972,0.0,0.0,mad,False,False,True,False,False,False,True
2.3655105866081088,3.491112712089488,6.400391110414246,6.0,55.2,22.6,51.6,59.4,18.8,11.4,12.6,7.8,2.4,14.2,0.0,0.0,12.2,22.0,8.0,42.8,24.4,7.0,10.8,23.0,9.6,26.4,17.0,22.2,,,,79.6,0.2599999999999999,16.0,0.0723607504748845,0.0177758158151061,0.08685494281494,mad,False,True,True,False,False,False,True
2.4052604410361127,3.6639215915607566,3.1788779698368663,2.0,24.0,8.0,21.0,41.0,19.0,12.0,16.0,6.0,1.0,10.0,0.0,0.0,5.0,14.0,2.0,24.0,10.0,2.0,27.0,16.0,11.0,21.0,18.0,16.0,66.0,31.0,93.0,48.0,0.3,16.0,0.1075933548210427,0.0,0.0,btk,False,True,True,True,True,True,True
2.3248965892720577,4.01039898451411,5.676377949163634,13.6,34.0,14.8,71.4,65.4,48.4,24.0,50.0,35.0,13.0,43.2,0.0,0.0,49.8,59.6,28.8,,,,,,,,,,,,,,0.26,16.0,0.145415129896554,0.0983536019239332,0.0244785612424497,btk,True,False,False,False,False,False,False
6.929024285447836,5.850949780456872,7.244985357568909,47.0,,,,,,,46.0,61.0,23.0,30.0,0.0,0.0,8.0,4.0,2.0,10.0,86.0,10.0,7.0,70.0,74.0,27.0,14.0,1.0,,,,,0.03,16.0,0.1131716815144946,0.0,0.0,btk,False,True,False,False,False,False,False
4.894749195059546,5.4009619201836685,5.461164517596979,,58.6,44.8,128.2,158.8,63.2,29.8,,,,,,,,,,,,,,,,,,,,,,,0.18,16.0,0.0489625858811385,0.4816810727097691,0.5508999040088031,btk,False,False,True,False,False,False,False
2.235493695265609,4.793894947279489,4.033131458680612,15.0,29.0,28.0,78.0,60.0,41.0,14.0,31.0,15.0,5.0,18.0,0.0,0.0,13.0,23.0,5.0,24.0,21.0,7.0,40.0,22.0,12.0,21.0,22.0,14.0,,,,,0.3,16.0,0.031558450213458,0.0,0.0,btk,False,True,True,False,False,False,False
4.594458427133641,2.8029581988635064,3.8974639279992935,10.0,,,,,,,9.0,12.0,0.0,7.0,0.0,0.0,48.0,17.0,9.0,25.0,28.0,14.0,33.0,3.0,17.0,71.0,11.0,11.0,241.0,,,,0.1,16.0,0.0869436006775716,0.0,0.0,btk,False,True,False,True,False,False,False
4.106674197953033,2.731819398867044,2.8176386080085334,,53.0,21.0,79.0,66.0,79.0,28.0,,,,,,,,,,,,,,,,,,,218.0,,,,0.1,16.0,0.0928912958978819,0.0,0.0,btk,False,False,True,True,False,False,False
2.637897846610276,4.106806087393773,3.708842822894893,3.0,20.0,14.0,55.0,55.0,38.0,14.0,13.0,19.0,2.0,15.0,0.0,0.0,19.0,18.0,8.0,15.0,12.0,18.0,32.0,21.0,10.0,14.0,21.0,21.0,108.0,,,,0.3,16.0,0.1235944270112646,0.0,0.0,btk,False,True,True,True,False,False,False
3.6599999702660986,2.6615906274238874,3.163200093460563,6.0,,,,,,,17.0,12.0,7.0,9.0,0.0,0.0,1.0,4.0,34.0,3.0,20.0,10.0,5.0,11.0,51.0,12.0,12.0,22.0,,,331.0,,0.03,16.0,0.0723821311504493,0.0,0.0,btk,False,True,False,False,True,False,False
3.168626625947126,3.0719296265488367,2.6907398669473404,,47.8,24.8,59.4,78.4,63.8,15.2,,,,,,,,,,,,,,,,,,,,,266.2,,0.2199999999999999,16.0,0.0868174205440363,0.149173595602718,0.0993645220507861,btk,False,False,True,False,True,False,False
2.6465354309099944,3.5809023985213715,3.245549518464417,3.0,38.0,15.0,40.0,50.0,40.0,13.0,17.0,11.0,3.0,13.0,0.0,0.0,10.0,20.0,10.0,38.0,21.0,5.0,25.0,15.0,10.0,28.0,19.0,15.0,,,111.0,,0.3,16.0,0.1272583117334866,4.440892098500626e-16,0.0,btk,False,True,True,False,True,False,False
4.779076499915016,11.659457565222707,6.774558680897671,9.0,,,,,,,15.0,36.0,8.0,10.0,0.0,0.0,7.0,3.0,17.0,20.0,18.0,19.0,11.0,5.0,30.0,13.0,14.0,29.0,,306.0,,,0.3,16.0,0.1415053494732029,0.0,8.881784197001252e-16,btk,False,True,False,False,False,True,False
4.129878123260111,5.412162360011164,5.182249703792272,,71.0,17.0,74.0,91.0,41.0,10.0,,,,,,,,,,,,,,,,,,,,268.0,,,0.3,16.0,0.1086150769357382,0.0,0.0,btk,False,False,True,False,False,True,False
2.349822159863977,6.336647687976119,4.307317874045129,6.0,22.0,12.0,80.0,46.0,28.0,17.0,22.0,17.0,4.0,20.0,0.0,0.0,5.0,12.0,5.0,17.0,15.0,9.0,48.0,20.0,13.0,19.0,15.0,11.0,,102.0,,,0.3,16.0,0.11769293647273,0.0,0.0,btk,False,True,True,False,False,True,False
3.5396784670197654,2.6253271672574576,2.927287814374146,9.0,,,,,,,8.0,14.0,4.0,11.0,0.0,0.0,0.0,1.0,14.0,8.0,20.0,14.0,12.0,11.0,22.0,10.0,10.0,17.0,,64.0,319.0,,0.03,16.0,0.0709367185535943,0.0,0.0,btk,False,True,False,False,True,True,False
2.920322772028725,3.157482476767984,2.098513378810131,,44.4,15.8,45.4,64.0,51.8,13.4,,,,,,,,,,,,,,,,,,,,96.8,245.2,,0.18,16.0,0.0891942653465999,0.4178516943809172,0.0900706145733545,btk,False,False,True,False,True,True,False
2.608373796897601,3.5719867239418286,2.7704963160742992,6.0,29.0,8.0,45.0,49.0,21.0,14.0,13.0,8.0,1.0,8.0,0.0,0.0,6.0,15.0,7.0,41.0,12.0,7.0,30.0,22.0,7.0,26.0,13.0,7.0,,51.0,112.0,,0.3,16.0,0.0819669909640686,0.0,0.0,btk,False,True,True,False,True,True,False
