cv_rmse,test_rmse,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dataset_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,learning_rate,num_leaves,cv_rmse_se,test_rmse_se,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft,dev_size_importance,test_size_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance
8.660477800952918,8.182579687343203,46.4,45.8,65.6,58.2,26.2,8.4,108.0,53.0,15.8,96.0,145.8,59.6,195.8,61.8,144.6,132.0,71.6,39.6,114.6,72.6,144.2,193.4,0.1,22.4,0.15451043473178536,0.33909493528262746,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,
4.055008525745405,3.982413959397121,15.2,13.8,30.2,32.2,11.0,2.6,116.6,29.6,12.4,27.0,41.8,32.4,52.6,37.8,49.8,37.0,44.0,21.6,29.0,63.0,56.0,35.2,0.13999999999999999,25.6,0.13465822239523834,0.2485556502945103,False,True,True,True,True,True,True,3.0,16.2,37.8,70.8,48.2,48.4,75.4,51.8,46.6,88.8,43.4,3.0,205.4,67.0,239.4,103.8
7.935603351175115,7.449828160945215,,,,,,,117.0,25.6,14.2,44.2,91.2,35.0,111.8,40.4,79.0,56.8,59.0,20.6,48.2,57.8,58.2,85.4,0.1,19.2,0.2325378300770423,0.40185123650788007,False,True,False,False,False,False,False,3.4,39.6,63.4,103.0,56.4,47.4,91.0,69.6,88.6,97.0,83.2,1.4,,,,
11.447358636307142,10.870382496675237,167.8,280.6,508.4,366.4,125.2,49.0,,,,,,,,,,,,,,,,,0.15199999999999997,16.0,0.1331100854127251,0.46858759387792004,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,
7.410107785345451,7.013107631594063,60.4,43.6,43.0,34.8,18.2,2.0,93.4,18.2,13.8,39.8,51.2,24.0,104.6,31.6,72.0,58.6,53.4,20.6,48.6,44.6,56.2,92.4,0.1,19.2,0.20932602657097524,0.3486547885833644,False,True,True,False,False,False,False,2.2,39.4,39.6,88.4,41.6,39.6,91.4,84.2,62.8,92.4,76.8,4.8,,,,
5.788328195896789,5.652965703440432,,,,,,,79.6,29.6,6.0,37.4,66.4,31.6,85.0,32.0,56.6,43.6,47.6,21.0,43.2,65.0,51.0,47.4,0.1,16.0,0.18530563940832273,0.3811043278842074,False,True,False,True,False,False,False,3.2,30.0,34.8,64.6,53.2,60.8,60.6,45.2,68.6,78.0,57.8,1.6,193.0,,,
6.967166948057928,6.899800430862223,140.2,168.8,281.6,255.0,99.6,59.6,,,,,,,,,,,,,,,,,0.05800000000000001,19.2,0.17728345555298766,0.3415001149418221,False,False,True,True,False,False,False,,,,,,,,,,,,,751.6,,,
5.540654724302743,5.447067371053181,47.2,30.4,45.0,44.8,16.0,1.6,76.2,23.2,7.0,42.2,51.2,27.6,95.8,37.8,68.4,50.8,40.0,19.8,42.4,57.0,46.2,50.2,0.1,19.2,0.11045994604758279,0.26887074897305446,False,True,True,True,False,False,False,1.8,36.8,28.4,70.4,63.2,48.8,55.4,44.4,53.6,79.6,64.4,4.4,218.0,,,
4.613344305233541,4.456008394249972,,,,,,,133.6,37.2,21.8,35.6,83.6,50.6,70.8,43.2,68.8,59.0,61.0,28.4,39.8,85.0,83.2,53.6,0.13999999999999999,25.6,0.16917785300694418,0.39559524439295435,False,True,False,False,True,False,False,4.6,23.2,53.4,99.2,60.0,60.8,90.4,76.6,70.2,159.0,76.6,3.4,,,317.0,
5.476960906319166,5.199007357263376,42.0,96.0,295.6,254.4,60.2,20.0,,,,,,,,,,,,,,,,,0.03,16.0,0.1003906451072466,0.16846817739845357,False,False,True,False,True,False,False,,,,,,,,,,,,,,,731.8,
4.520254379993789,4.350357137478708,27.8,18.8,53.6,46.8,19.4,3.6,130.4,35.4,18.6,30.2,63.4,41.6,72.4,35.4,58.8,48.8,53.8,19.0,29.6,69.4,82.4,54.0,0.13999999999999999,32.0,0.17513787002105266,0.28957613999325066,False,True,True,False,True,False,False,4.8,22.8,43.2,98.0,61.2,47.4,87.4,61.4,62.4,145.8,73.4,2.2,,,307.0,
6.543029517712813,6.074354411148391,,,,,,,87.2,30.2,11.0,14.6,70.6,35.0,74.4,36.8,50.0,47.6,55.4,24.8,30.8,52.0,74.2,71.2,0.13999999999999999,16.0,0.10662302127350282,0.25759803754953103,False,True,False,False,False,True,False,5.0,26.2,48.4,86.4,37.4,35.2,79.4,61.0,52.0,109.6,55.8,2.0,,130.8,,
10.62506510067983,10.123986751101219,86.2,138.2,302.0,209.4,86.8,21.2,,,,,,,,,,,,,,,,,0.03,16.0,0.19341493651276032,0.3988696140570512,False,False,True,False,False,True,False,,,,,,,,,,,,,,656.2,,
6.480457141240718,5.966877744555345,19.0,19.8,38.2,24.4,19.2,1.2,95.0,32.6,13.6,19.8,71.0,41.2,83.6,42.8,60.6,55.8,70.4,28.8,36.0,58.0,79.2,87.0,0.1,22.4,0.14414748976921252,0.25988569041670684,False,True,True,False,False,True,False,5.4,29.4,55.4,104.8,50.0,39.2,92.6,72.6,52.4,120.0,61.6,2.4,,162.4,,
4.601031072132963,4.330910204752246,,,,,,,122.2,32.4,16.4,26.0,54.6,36.8,53.0,32.6,44.2,42.8,42.0,22.2,24.0,67.0,67.0,34.8,0.1,19.2,0.15778657688363337,0.30163552521631665,False,True,False,False,True,True,False,2.6,20.4,40.8,78.6,42.6,44.4,73.0,49.0,51.4,113.2,45.6,1.2,,125.0,237.8,
5.449326070988173,5.118416469808184,53.6,91.8,275.2,246.4,86.8,25.2,,,,,,,,,,,,,,,,,0.03,22.4,0.05941652045682118,0.1803701432397957,False,False,True,False,True,True,False,,,,,,,,,,,,,,483.6,784.6,
4.510501760040451,4.315899771574788,20.4,11.0,40.0,31.4,18.4,2.8,119.2,22.2,13.2,23.6,45.2,35.4,49.6,30.4,46.4,36.6,42.4,18.8,18.4,54.4,59.0,36.0,0.1,19.2,0.15792027818016197,0.2835745788773356,False,True,True,False,True,True,False,2.2,19.0,37.4,70.4,44.8,42.4,62.8,49.8,44.8,111.6,56.2,1.8,,101.2,235.0,
6.572944312747405,6.027662392750304,,,,,,,106.2,40.0,15.2,28.0,75.2,43.2,91.4,40.8,74.0,57.2,81.2,27.2,48.4,69.0,100.2,95.6,0.18,32.0,0.11585245947640647,0.3338518383188204,False,True,False,False,False,False,True,6.2,33.2,54.8,120.0,55.0,52.6,104.6,76.0,58.2,163.2,64.8,5.2,,,,158.6
10.613925583297837,9.981874041940104,52.8,185.0,299.0,195.2,84.4,9.0,,,,,,,,,,,,,,,,,0.03,16.0,0.1260291274383334,0.369456037363712,False,False,True,False,False,False,True,,,,,,,,,,,,,,,,674.6
6.4753892377074695,5.906839594848993,11.4,12.2,28.0,22.6,20.2,2.8,82.6,28.0,18.0,20.6,53.6,35.8,64.4,38.8,65.2,48.6,59.6,23.0,27.8,45.6,83.2,72.6,0.13999999999999999,19.2,0.13223096230399112,0.22404550279016508,False,True,True,False,False,False,True,4.2,28.0,43.4,87.0,40.4,35.2,92.4,64.4,47.6,126.8,65.8,2.4,,,,127.8
