cv_rmse,test_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_rmse_se,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
2.873191447493848,2.8710106349536875,2.2,11.4,13.4,16.0,47.2,15.8,7.0,19.2,7.6,2.8,5.8,0.0,0.0,6.2,13.6,4.2,9.4,16.4,10.6,17.6,17.2,12.6,20.8,13.2,9.6,47.4,39.2,68.8,52.4,0.26,16.0,0.15251375172819073,0.277998768140742,False,True,True,True,True,True,True
2.8089276347818872,2.663743127983666,10.2,35.8,29.4,61.4,78.0,52.4,13.2,45.0,30.6,16.4,27.0,0.0,0.0,35.8,36.2,27.0,,,,,,,,,,,,,,0.3,16.0,0.2148635725811509,0.2224867923026261,True,False,False,False,False,False,False
6.396137472215733,6.589715784755481,19.4,,,,,,,30.8,28.0,11.8,17.2,0.0,0.0,39.2,3.4,40.2,29.0,68.2,4.4,24.8,44.4,66.0,23.4,21.0,11.6,,,,,0.03,16.0,0.38540664519373957,0.3469010955673016,False,True,False,False,False,False,False
4.645988632002883,4.620610991584369,,52.6,58.2,114.2,130.6,96.0,19.6,,,,,,,,,,,,,,,,,,,,,,,0.25999999999999995,16.0,0.1557380155743862,0.231137785228426,False,False,True,False,False,False,False
2.6699158557741804,2.674266919134594,6.2,27.0,36.0,52.8,73.8,63.6,8.2,14.8,14.2,5.0,9.2,0.0,0.0,9.6,12.8,6.8,16.2,18.6,11.4,18.8,24.6,11.0,17.6,21.4,12.2,,,,,0.3,16.0,0.2318547794283886,0.265217605300794,False,True,True,False,False,False,False
4.348043948893688,4.856546148329725,1.4,,,,,,,23.0,16.4,1.0,13.8,0.0,0.0,17.2,19.0,6.0,22.6,19.8,6.6,21.0,11.6,20.8,54.0,14.4,15.6,215.6,,,,0.126,16.0,0.2073798092003733,0.23534630552357402,False,True,False,True,False,False,False
3.859134626887868,3.7470759641459885,,45.4,38.0,64.2,73.8,91.6,19.4,,,,,,,,,,,,,,,,,,,161.2,,,,0.1,16.0,0.13832955365207858,0.26199880656837815,False,False,True,True,False,False,False
3.014874369863974,3.0699270691086324,3.2,29.8,24.6,46.6,52.4,57.0,12.8,18.2,9.8,9.0,8.2,0.0,0.0,6.8,18.4,6.2,12.6,10.8,13.8,17.0,18.8,14.0,14.4,10.0,11.2,75.2,,,,0.22000000000000003,16.0,0.33050039283968163,0.1924062754564588,False,True,True,True,False,False,False
3.774521458089926,3.861293583025465,0.2,,,,,,,8.6,15.0,14.6,7.8,0.0,0.0,6.0,3.8,17.8,15.0,30.4,6.8,20.0,46.2,9.6,18.2,11.2,7.0,,,275.0,,0.044,16.0,0.1248220122634739,0.4791268924652018,False,True,False,False,True,False,False
3.157701278426173,3.1423878814263864,,23.8,40.2,64.4,96.4,51.4,7.4,,,,,,,,,,,,,,,,,,,,,207.0,,0.3,16.0,0.17726551589830503,0.3031602531042778,False,False,True,False,True,False,False
2.968561762126808,2.923345056639831,2.2,23.2,28.0,44.2,60.2,44.0,5.0,23.6,8.2,5.2,5.6,0.0,0.0,8.0,9.2,7.2,12.4,20.6,15.4,15.4,21.0,12.0,11.0,15.0,14.2,,,87.4,,0.26,16.0,0.15708986176763928,0.26111425910594266,False,True,True,False,True,False,False
5.34218116201163,5.8546774802695545,12.6,,,,,,,15.4,25.6,7.6,18.6,0.0,0.0,14.2,5.2,16.0,14.6,33.0,10.8,13.0,19.0,44.6,11.0,21.2,17.8,,191.0,,,0.098,16.0,0.3200098861250037,0.4074798559616952,False,True,False,False,False,True,False
4.248527808613988,4.3601299968963625,,25.8,35.4,76.6,103.0,53.6,15.6,,,,,,,,,,,,,,,,,,,,180.6,,,0.3,16.0,0.18584701888742913,0.21748500077405714,False,False,True,False,False,True,False
2.928283312896353,2.8504829906500335,6.8,23.2,21.8,43.2,61.4,59.0,8.8,15.2,7.8,3.6,8.8,0.0,0.0,10.0,13.8,5.6,18.4,20.6,13.8,18.0,23.4,9.4,12.8,19.8,11.8,,60.2,,,0.3,16.0,0.21198465600525704,0.2962176958084194,False,True,True,False,False,True,False
3.5716630860075598,3.721422389765153,0.2,,,,,,,5.8,12.0,11.8,7.0,0.0,0.0,2.4,2.8,6.6,7.6,21.4,3.6,16.8,36.6,11.8,12.2,6.0,0.8,,84.4,260.2,,0.03,16.0,0.1153601412665298,0.30108242746579156,False,True,False,False,True,True,False
3.04707255002778,3.240535423935243,,21.2,35.2,41.2,82.8,52.0,12.2,,,,,,,,,,,,,,,,,,,,88.8,162.4,,0.22000000000000003,16.0,0.18621282748245277,0.2841501555586605,False,False,True,False,True,True,False
3.0385440294707737,3.07762794105154,1.8,17.8,21.8,37.6,56.4,38.4,3.2,18.2,6.4,5.2,9.4,0.0,0.0,5.6,9.4,7.6,7.0,24.2,11.6,17.0,20.6,12.2,14.6,13.6,13.2,,44.4,82.4,,0.21999999999999997,16.0,0.16430087458199005,0.33098031177123405,False,True,True,False,True,True,False
3.904198633965072,4.08727723941368,5.8,,,,,,,10.6,6.6,4.2,15.4,0.0,0.0,12.8,14.0,22.0,24.4,27.6,21.6,18.6,21.2,24.0,14.0,11.8,9.0,,,,233.2,0.18,16.0,0.31239705931632744,0.4157973118004297,False,True,False,False,False,False,True
4.4196895592462955,4.463024342491283,,37.8,33.4,47.6,86.0,50.6,12.8,,,,,,,,,,,,,,,,,,,,,,215.4,0.25999999999999995,16.0,0.11452933775374306,0.1272976964857938,False,False,True,False,False,False,True
2.6944085423593984,2.8848243829993914,4.6,25.6,24.8,34.2,63.2,27.2,10.0,15.0,13.4,8.2,13.6,0.0,0.0,12.0,9.2,7.0,14.4,22.2,16.0,20.8,21.6,18.2,18.6,21.4,17.0,,,,70.0,0.26,16.0,0.29735290489798055,0.26798903672911395,False,True,True,False,False,False,True
