cv_rmse,test_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance,eta,n_estimators,cv_rmse_se,test_rmse_se,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
2.363039637750531,2.4071261674760605,0.017426852,0.040866427,0.005016298,0.04288473,0.008054699,0.015016089,0.0042258445,0.008859666,0.014315891,0.014364975,0.009597572,0.010485625,0.00674588,0.0115299225,0.006436497,0.048667412,0.010003438,0.017536113,0.013014893,0.00553318,0.010949512,0.20315135,0.011654101,0.010183286,0.0088100005,0.09158869,0.020166915,0.21293631,0.11997791,0.025019854450360833,1100.0,0.22653686069505666,0.2787054300644601,False,True,True,True,True,True,True
2.358954109366139,2.4459247866934213,0.050191484,0.14730501,0.022837043,0.15486786,0.028983986,0.07709871,0.03863853,0.01385771,0.04872551,0.114735544,0.027997172,0.024501126,0.07714579,0.018503789,0.031468846,0.123141885,,,,,,,,,,,,,,0.03406064754115207,1560.0,0.2229650615697728,0.2960863423533776,True,False,False,False,False,False,False
6.534240122500949,6.723786615521975,0.019881275,,,,,,,0.01826051,0.04603646,0.061995424,0.019089231,0.05057981,0.065925635,0.026740009,0.020344071,0.05114305,0.021872565,0.050624162,0.118712544,0.01462948,0.038864404,0.23468044,0.030227203,0.030857284,0.07953646,,,,,0.012909616175014372,160.0,0.3135938182226603,0.26506684025620836,False,True,False,False,False,False,False
4.6130109069467,4.575867715048909,,0.25941294,0.07563182,0.28199774,0.10052302,0.18668611,0.095748365,,,,,,,,,,,,,,,,,,,,,,,0.01814661822304408,520.0,0.16069148999715116,0.23149736813166624,False,False,True,False,False,False,False
2.382762919099288,2.479626486370841,0.03818031,0.071734466,0.009634745,0.06643943,0.008296232,0.029030079,0.011051035,0.0049965656,0.016497979,0.023940243,0.014761254,0.018139893,0.07994843,0.01679127,0.008191739,0.047348414,0.01364716,0.028765475,0.06054637,0.0037332487,0.00846789,0.39207512,0.0075723394,0.0062418035,0.01396853,,,,,0.04163887400786806,1420.0,0.19620622220678147,0.2966776618401657,False,True,True,False,False,False,False
4.013237159749531,4.458724258749917,0.03299766,,,,,,,0.02178427,0.04434838,0.05614249,0.029674824,0.021015208,0.038380884,0.03305339,0.018585647,0.043174677,0.027372535,0.036847573,0.07968986,0.018382343,0.017476257,0.26554236,0.042843744,0.028301159,0.030224588,0.114162184,,,,0.023955849325810453,980.0,0.1710903154527396,0.22384746376643522,False,True,False,True,False,False,False
3.639380325002918,3.711513102370239,,0.16525447,0.046873834,0.2205359,0.06408687,0.15057106,0.08167681,,,,,,,,,,,,,,,,,,,0.271001,,,,0.022273223579947828,660.0,0.16335027988460435,0.4438731491829029,False,False,True,True,False,False,False
2.5338968148287724,2.564727095253069,0.017614765,0.07061057,0.013751119,0.07136085,0.010929726,0.034902953,0.007016828,0.007633439,0.025211904,0.058132045,0.00939207,0.013833173,0.04227713,0.012731043,0.009406109,0.0375257,0.014011867,0.019793747,0.045268796,0.0064924173,0.008051712,0.31864494,0.018277355,0.0105329165,0.013464955,0.10313183,,,,0.051689904839949154,1080.0,0.20790431658295405,0.42887347906418033,False,True,True,True,False,False,False
3.4142024502008814,3.3130934566246593,0.020337936,,,,,,,0.016142437,0.040174194,0.059573095,0.021519447,0.022105537,0.027177194,0.01910707,0.017205559,0.051526904,0.016941259,0.05353416,0.06116568,0.013497633,0.02646643,0.28210017,0.024150688,0.022420147,0.036067937,,,0.16878651,,0.014587058796582009,700.0,0.3184600600152804,0.3879560677296046,False,True,False,False,True,False,False
2.8616041348313956,2.8576065056985014,,0.1610762,0.042276107,0.19532171,0.06455414,0.12346619,0.07520599,,,,,,,,,,,,,,,,,,,,,0.33809966,,0.0394983188728991,640.0,0.11319327600834443,0.2143812951158527,False,False,True,False,True,False,False
2.4137949131824477,2.5631805510041366,0.021067398,0.054663826,0.012989635,0.06678076,0.009380864,0.039741382,0.0066608926,0.0077758133,0.023057085,0.048626445,0.013231462,0.009145031,0.03796825,0.010871959,0.010541176,0.046875305,0.018539455,0.028190577,0.02616534,0.0064849714,0.016290508,0.28256047,0.0101677105,0.009977664,0.013189264,,,0.16905674,,0.04141185211247698,1200.0,0.16775714228412164,0.3252101192777868,False,True,True,False,True,False,False
4.734521044759182,4.302810721945868,0.031095807,,,,,,,0.024527796,0.04470332,0.0440577,0.026842803,0.041407637,0.033101834,0.026281092,0.02416088,0.059047204,0.030120268,0.053605318,0.046853624,0.023063809,0.02746978,0.2990566,0.035844844,0.030308342,0.03763197,,0.060819387,,,0.08647824922424,2000.0,0.3893525729126978,0.42303805846986686,False,True,False,False,False,True,False
4.023697789715886,4.3303000652150425,,0.20744148,0.07344256,0.25706834,0.082449704,0.15144841,0.08187033,,,,,,,,,,,,,,,,,,,,0.14627919,,,0.05765544005466268,740.0,0.20422086090903166,0.26865726593150036,False,False,True,False,False,True,False
2.380193792339424,2.444973729206155,0.03737904,0.07268076,0.008997977,0.06330739,0.0066548483,0.023019113,0.0075161173,0.005268657,0.01773959,0.034083463,0.01710089,0.013895631,0.038805306,0.016207894,0.0061796387,0.04289069,0.011158608,0.020400967,0.03725489,0.003181363,0.0089228125,0.45918983,0.005861392,0.005864072,0.01084234,,0.025596717,,,0.04509954307448388,1360.0,0.23908404280140183,0.21017600499597658,False,True,True,False,False,True,False
3.0387967196247807,3.1498334471016785,0.02733342,,,,,,,0.014501986,0.026708264,0.030523967,0.016450142,0.01839329,0.05100154,0.01813541,0.012224453,0.047463536,0.016941702,0.04989451,0.03291127,0.010212043,0.019768093,0.32418334,0.016676188,0.015398097,0.045214515,,0.04807311,0.15799114,,0.03213457414684145,700.0,0.24375454696196866,0.33447163753123854,False,True,False,False,True,True,False
2.6993397034929165,2.910834902594714,,0.14789651,0.033456977,0.23210111,0.033110395,0.104803935,0.054448843,,,,,,,,,,,,,,,,,,,,0.1045021,0.28968015,,0.02345624586678064,1060.0,0.2097935050243608,0.17888031972141052,False,False,True,False,True,True,False
2.4683443875353164,2.5101850129407213,0.02252838,0.049393117,0.006509145,0.05710151,0.006558939,0.030068267,0.0057481774,0.0072347512,0.017912868,0.019068366,0.010532586,0.009535611,0.05621166,0.007943155,0.006751275,0.03657962,0.00886294,0.029921591,0.023477359,0.0043633236,0.010936378,0.37802738,0.008511447,0.007278543,0.01439557,,0.032850012,0.13169803,,0.027701383025205428,820.0,0.2205409230857068,0.25156207315750934,False,True,True,False,True,True,False
3.276826476035209,2.510080942088127,0.02742429,,,,,,,0.018678593,0.045994293,0.033199653,0.02621229,0.02840226,0.017971288,0.018224109,0.01772482,0.05304142,0.016807819,0.056070097,0.051914316,0.012424116,0.024280583,0.36018282,0.023603797,0.023078013,0.035331912,,,,0.10943349,0.05526799269232989,1780.0,0.583737519309083,0.21195112467301602,False,True,False,False,False,False,True
3.9647937758670437,4.289648277394395,,0.16982709,0.06593775,0.19329455,0.090015836,0.13190958,0.07991173,,,,,,,,,,,,,,,,,,,,,,0.26910347,0.05311063626059209,920.0,0.22425004297781712,0.24708949540186712,False,False,True,False,False,False,True
2.3228636376957743,2.375471732798699,0.037899744,0.0651054,0.010920014,0.06228576,0.010332001,0.027126217,0.0065794564,0.0075906143,0.020954022,0.04176928,0.021920806,0.0070617585,0.02801473,0.016402623,0.009648389,0.058830626,0.015844133,0.028216202,0.03804327,0.003049692,0.015834799,0.31578106,0.00817552,0.008350419,0.009831281,,,,0.12443219,0.053331956770609736,1300.0,0.24583067117854981,0.3606187466774966,False,True,True,False,False,False,True
